t x y z yaw pitch roll vx vy vz wx wy wz
0.837 -4.00001 -4 2 0.75 1.48341e-09 1.75738e-10 8.65519e-10 -3.12513e-09 5.69446e-09 -3.78774e-08 -1.06108e-08 4.84862e-09
0.847 -4.00001 -4 2 0.75 1.55633e-09 -3.19366e-10 9.86884e-10 -3.01664e-09 2.99845e-09 -4.15495e-08 -4.24604e-08 5.04398e-09
0.858 -4.00001 -4 2 0.75 1.39179e-09 -9.8012e-10 1.06214e-09 -2.86632e-09 5.39634e-10 -3.10277e-08 -6.5815e-08 5.08292e-09
0.867 -4.00001 -4 2 0.75 1.00667e-09 -1.59237e-09 1.08597e-09 -2.68829e-09 -4.97878e-10 -7.03961e-09 -7.10783e-08 4.6376e-09
0.877 -4.00001 -4 2 0.75 4.54851e-10 -2.00399e-09 1.02399e-09 -2.49826e-09 -6.04846e-10 1.78338e-08 -6.42705e-08 4.25573e-09
0.887 -4.00001 -4 2 0.75 -1.36865e-10 -2.17432e-09 8.92075e-10 -2.32572e-09 -6.39391e-11 3.54136e-08 -4.58442e-08 4.39809e-09
0.897 -4.00001 -4 2 0.75 -6.55238e-10 -2.08971e-09 7.16898e-10 -2.18783e-09 -2.33345e-10 4.40987e-08 -2.08529e-08 4.70515e-09
0.907 -4.00001 -4 2 0.75 -9.96618e-10 -1.82416e-09 5.19883e-10 -2.09848e-09 -1.84294e-09 4.02363e-08 4.50378e-09 4.98477e-09
0.918 -4.00001 -4 2 0.75 -1.10402e-09 -1.47562e-09 3.43258e-10 -2.05667e-09 -3.54943e-09 2.43931e-08 2.20444e-08 4.98263e-09
0.927 -4.00001 -4 2 0.75 -9.98771e-10 -1.24294e-09 1.76723e-10 -2.03707e-09 -4.23167e-09 -3.35362e-09 2.31431e-08 4.44657e-09
0.937 -4.00001 -4 2 0.75 -7.05209e-10 -1.26406e-09 3.39884e-11 -2.01453e-09 -4.37929e-09 -3.58697e-08 1.72473e-08 3.57878e-09
0.947 -4.00001 -4 2 0.75 -3.21191e-10 -1.4743e-09 -7.92591e-11 -1.96321e-09 -2.85873e-09 -5.26887e-08 1.39865e-08 3.13216e-09
0.957 -4.00001 -4 2 0.75 1.6589e-10 -1.80982e-09 -1.88193e-10 -1.85731e-09 -1.09057e-10 -5.97273e-08 1.21524e-08 2.88926e-09
0.968 -4.00001 -4 2 0.75 6.94262e-10 -2.15183e-09 -2.87477e-10 -1.67235e-09 2.17175e-09 -4.92676e-08 1.61149e-08 2.41787e-09
0.977 -4.00001 -4 2 0.75 1.09722e-09 -2.2976e-09 -3.74597e-10 -1.44623e-09 3.46742e-09 -2.76981e-08 2.27658e-08 1.75173e-09
0.987 -4.00001 -4 2 0.75 1.38243e-09 -2.20269e-09 -4.38007e-10 -1.18866e-09 4.2159e-09 9.44857e-10 3.16002e-08 8.1386e-10
0.997 -4.00001 -4 2 0.75 1.52779e-09 -1.83311e-09 -4.71444e-10 -9.33456e-10 4.80502e-09 2.75946e-08 3.69663e-08 1.15192e-10
1.007 -4.00001 -4 2 0.75 1.5348e-09 -1.37221e-09 -4.51436e-10 -7.14285e-10 5.69531e-09 3.55569e-08 2.59838e-08 1.92401e-10
1.017 -4.00001 -4 2 0.75 1.41846e-09 -1.01369e-09 -4.12194e-10 -5.30352e-10 6.61482e-09 3.1096e-08 8.10357e-09 4.72325e-10
1.028 -4.00001 -4 2 0.75 1.2663e-09 -8.44867e-10 -3.72582e-10 -3.78756e-10 7.66556e-09 1.42225e-08 -5.55568e-09 2.09747e-10
1.037 -4.00001 -4 2 0.75 1.17122e-09 -9.15675e-10 -3.34309e-10 -2.4014e-10 8.7532e-09 -8.71614e-09 -1.61934e-08 -4.0292e-10
1.047 -4.00001 -4 2 0.75 1.1393e-09 -1.17009e-09 -3.15896e-10 -9.38951e-11 1.12305e-08 -2.12347e-08 -2.19562e-08 -6.93083e-10
1.058 -4.00001 -4 2 0.75 1.13399e-09 -1.5372e-09 -3.04436e-10 8.70457e-11 1.44053e-08 -2.38135e-08 -2.15239e-08 -7.81694e-10
1.067 -4.00001 -4 2 0.75 1.14284e-09 -1.73129e-09 -3.30445e-10 2.64314e-10 1.50963e-08 -8.41528e-09 -6.09443e-09 -8.23757e-10
1.079 -4.00001 -4 2 0.75 1.15593e-09 -1.54556e-09 -3.74805e-10 5.13865e-10 1.42442e-08 2.80446e-08 2.56704e-08 -1.09069e-09
1.088 -4.00001 -4 2 0.75 1.11705e-09 -1.03137e-09 -3.85063e-10 6.79637e-10 1.39741e-08 5.82792e-08 4.29851e-08 -1.62206e-09
1.097 -4.00001 -4 2 0.75 9.85878e-10 -2.28458e-10 -3.58404e-10 7.97434e-10 1.38318e-08 8.70998e-08 5.41715e-08 -2.2637e-09
1.107 -4.00001 -4 2 0.75 7.46922e-10 7.83916e-10 -2.6156e-10 8.36291e-10 1.31342e-08 8.82965e-08 4.60966e-08 -2.63655e-09
1.117 -4.00001 -4 2 0.75 4.92557e-10 1.51319e-09 -1.44475e-10 7.96223e-10 1.1694e-08 6.85748e-08 2.36951e-08 -2.80199e-09
1.127 -4.00001 -4 2 0.75 1.58832e-10 1.92513e-09 2.47862e-11 6.72888e-10 8.94216e-09 2.91015e-08 -1.50113e-08 -3.01317e-09
1.137 -4.00001 -4 2 0.75 -1.49319e-10 1.70926e-09 1.66536e-10 5.26351e-10 5.75486e-09 -1.47067e-08 -5.46371e-08 -3.10456e-09
1.148 -4.00001 -4 2 0.75 -4.00268e-10 9.02132e-10 2.66234e-10 3.78267e-10 2.34769e-09 -5.64429e-08 -7.23009e-08 -3.2864e-09
1.157 -4.00001 -4 2 0.75 -4.27671e-10 -1.09219e-11 2.78239e-10 3.06965e-10 -4.95203e-10 -8.14946e-08 -6.82356e-08 -3.43496e-09
1.168 -4.00001 -4 2 0.75 -2.67514e-10 -1.07398e-09 2.05129e-10 3.18483e-10 -3.6034e-09 -7.46454e-08 -4.14217e-08 -3.42352e-09
1.177 -4.00001 -4 2 0.75 -4.50864e-11 -1.62446e-09 1.06872e-10 4.0248e-10 -6.34268e-09 -4.91094e-08 -8.02663e-09 -3.45349e-09
1.19 -4.00001 -4 2 0.75 3.64251e-10 -1.64225e-09 -5.10067e-11 6.01851e-10 -9.86056e-09 3.85334e-09 4.05299e-08 -3.67694e-09
