t wx wy wz ax ay az
0.146 -0.14469 -0.0647658 -0.162029 -0.000235479 -0.00686333 12.7982
0.147 -0.144334 -0.0655091 -0.162717 -0.000235606 -0.00689889 12.7947
0.148 -0.143974 -0.0662482 -0.163402 -0.000235868 -0.00693458 12.7912
0.149 -0.143607 -0.0669885 -0.164086 -0.000236253 -0.00697045 12.7877
0.15 -0.143241 -0.0677246 -0.164775 -0.000236747 -0.00700653 12.7843
0.151 -0.14287 -0.0684555 -0.165461 -0.000237333 -0.00704287 12.7808
0.152 -0.1425 -0.0691864 -0.166151 -0.000237992 -0.0070795 12.7773
0.153 -0.142126 -0.0699131 -0.166839 -0.000238701 -0.00711648 12.7739
0.154 -0.141752 -0.0706382 -0.167528 -0.000239441 -0.00715382 12.7704
0.155 -0.141379 -0.071359 -0.16822 -0.000240191 -0.00719157 12.767
0.156 -0.141005 -0.0720753 -0.168912 -0.000240933 -0.00722974 12.7636
0.157 -0.140634 -0.0727927 -0.169604 -0.000241645 -0.00726836 12.7601
0.158 -0.140266 -0.0735077 -0.170297 -0.000242305 -0.00730745 12.7567
0.159 -0.139898 -0.0742217 -0.170989 -0.000242893 -0.00734703 12.7533
0.16 -0.139534 -0.074933 -0.171682 -0.000243393 -0.0073871 12.7499
0.161 -0.139177 -0.0756428 -0.172375 -0.000243791 -0.00742767 12.7464
0.162 -0.138822 -0.076354 -0.173071 -0.000244077 -0.00746873 12.743
0.163 -0.138477 -0.077066 -0.173768 -0.000244226 -0.00751028 12.7398
0.164 -0.138135 -0.0777792 -0.174465 -0.000244266 -0.00755228 12.7364
0.165 -0.137801 -0.0784913 -0.175163 -0.000244182 -0.00759473 12.733
0.166 -0.137475 -0.0792049 -0.175862 -0.000243975 -0.0076376 12.7296
0.167 -0.137159 -0.0799228 -0.176564 -0.000243654 -0.00768086 12.7262
0.168 -0.136846 -0.0806422 -0.177264 -0.000243227 -0.00772448 12.7228
0.169 -0.136543 -0.0813625 -0.177964 -0.00024271 -0.00776843 12.7194
0.17 -0.136246 -0.0820858 -0.178666 -0.000242119 -0.00781268 12.716
0.171 -0.13596 -0.0828102 -0.179368 -0.000241474 -0.00785719 12.7127
0.172 -0.135678 -0.0835371 -0.180072 -0.000240797 -0.00790192 12.7093
0.173 -0.135405 -0.0842653 -0.180777 -0.000240113 -0.00794685 12.7059
0.174 -0.135137 -0.0849962 -0.181483 -0.000239446 -0.00799194 12.7026
0.175 -0.134874 -0.0857302 -0.182187 -0.000238824 -0.00803717 12.6992
0.176 -0.134618 -0.0864675 -0.182893 -0.000238274 -0.00808251 12.6959
0.177 -0.134368 -0.0872042 -0.1836 -0.000237821 -0.00812795 12.6926
0.178 -0.13412 -0.0879432 -0.184308 -0.00023749 -0.00817346 12.6892
0.179 -0.133881 -0.0886802 -0.185016 -0.000237303 -0.00821904 12.6859
0.18 -0.133643 -0.0894168 -0.185725 -0.000237264 -0.00826467 12.6827
0.181 -0.133405 -0.0901554 -0.186433 -0.00023739 -0.00831035 12.6796
0.182 -0.13317 -0.0908916 -0.187146 -0.000237748 -0.00835608 12.6763
0.183 -0.132937 -0.0916269 -0.187857 -0.000238314 -0.00840187 12.673
0.184 -0.132705 -0.0923582 -0.188569 -0.000239076 -0.00844774 12.6698
0.185 -0.132469 -0.0930857 -0.18928 -0.000240801 -0.00849222 12.666
0.186 -0.132227 -0.093808 -0.189994 -0.000243156 -0.00853596 12.662
0.187 -0.131978 -0.094522 -0.190706 -0.000246134 -0.00857898 12.6577
0.188 -0.131718 -0.0952247 -0.191418 -0.000249725 -0.00862128 12.6533
0.189 -0.131444 -0.0959189 -0.192133 -0.00025391 -0.00866289 12.6486
0.19 -0.131157 -0.0965997 -0.192848 -0.000258666 -0.00870384 12.6437
0.191 -0.130856 -0.0972665 -0.193563 -0.000263964 -0.00874414 12.6387
0.192 -0.130535 -0.0979199 -0.194279 -0.000269777 -0.00878383 12.6334
0.193 -0.130197 -0.0985595 -0.194994 -0.000276075 -0.00882291 12.628
0.194 -0.129838 -0.0991833 -0.195707 -0.000282824 -0.0088614 12.6224
0.195 -0.129459 -0.0997923 -0.19642 -0.000289984 -0.00889934 12.6166
0.196 -0.129056 -0.100384 -0.197134 -0.000297516 -0.00893673 12.6107
0.197 -0.128629 -0.10096 -0.197852 -0.000305384 -0.0089736 12.6046
0.198 -0.128176 -0.101517 -0.198567 -0.000313552 -0.00900995 12.5984
0.199 -0.127699 -0.102061 -0.199283 -0.000321988 -0.00904578 12.592
0.2 -0.127199 -0.102588 -0.199997 -0.00033022 -0.00908194 12.5859
0.201 -0.12667 -0.103098 -0.200712 -0.000339101 -0.00911676 12.5793
0.202 -0.126117 -0.103593 -0.201425 -0.000348171 -0.00915107 12.5725
0.203 -0.125534 -0.104071 -0.202137 -0.000357413 -0.00918485 12.5656
0.204 -0.124923 -0.104533 -0.202853 -0.000366813 -0.00921811 12.5587
0.205 -0.12428 -0.104977 -0.203569 -0.000376367 -0.00925082 12.5516
0.206 -0.123607 -0.105407 -0.204281 -0.000386073 -0.00928298 12.5444
0.207 -0.122903 -0.105824 -0.204995 -0.000395935 -0.00931457 12.5371
0.208 -0.122167 -0.106222 -0.205705 -0.000405965 -0.00934558 12.5298
0.209 -0.121397 -0.106605 -0.206417 -0.000416176 -0.00937599 12.5223
0.21 -0.120591 -0.106973 -0.207132 -0.000426587 -0.00940581 12.5148
0.211 -0.11975 -0.107325 -0.207843 -0.000437223 -0.009435 12.5072
0.212 -0.118873 -0.107661 -0.208556 -0.000448108 -0.00946358 12.4996
0.213 -0.117957 -0.107979 -0.209267 -0.000459272 -0.00949153 12.4918
0.214 -0.117003 -0.108281 -0.209978 -0.000470744 -0.00951886 12.484
0.215 -0.116011 -0.108563 -0.210689 -0.000482555 -0.00954557 12.4762
0.216 -0.11498 -0.108827 -0.211399 -0.000494733 -0.00957167 12.4683
0.217 -0.113908 -0.109075 -0.212108 -0.000507308 -0.00959715 12.4603
0.218 -0.112795 -0.109301 -0.212816 -0.000520305 -0.00962204 12.4523
0.219 -0.11164 -0.109509 -0.213525 -0.000533747 -0.00964635 12.4442
0.22 -0.110443 -0.109693 -0.214232 -0.000547653 -0.0096701 12.4361
0.221 -0.109204 -0.109854 -0.214941 -0.000562037 -0.00969331 12.428
0.222 -0.10792 -0.109993 -0.215647 -0.00057691 -0.00971601 12.4198
0.223 -0.10659 -0.110107 -0.216351 -0.000592274 -0.00973821 12.4116
0.224 -0.105219 -0.110199 -0.217058 -0.00060813 -0.00975995 12.4033
0.225 -0.103801 -0.110263 -0.217761 -0.000624468 -0.00978125 12.3951
0.226 -0.102339 -0.110301 -0.218465 -0.000641277 -0.00980213 12.3868
0.227 -0.100833 -0.110311 -0.219169 -0.000658537 -0.00982263 12.3784
0.228 -0.0992837 -0.110295 -0.219872 -0.000676224 -0.00984277 12.3701
0.229 -0.0976898 -0.11025 -0.220576 -0.000694308 -0.00986258 12.3618
0.23 -0.0960498 -0.110176 -0.221279 -0.00071276 -0.00988206 12.3534
