t wx wy wz ax ay az
0.169 -0.0122901 -0.00768905 -0.00408201 -0.539557 -0.00372734 9.98475
0.17 -0.00663209 0.00460791 0.0213248 -0.178131 -0.272892 9.87679
0.171 -0.0125332 0.0181759 0.0103014 -0.0641212 -0.170995 9.82693
0.172 -0.00878998 0.000269933 0.0111163 -0.365112 -0.385629 9.81562
0.173 -0.00331728 0.00700108 -0.00368352 -0.462253 0.135511 9.79592
0.174 0.0197305 0.0154173 0.00966241 -0.174424 -0.200631 9.98067
0.175 -0.0175159 0.00579923 -0.00265608 -0.233282 -0.0677248 9.77477
0.176 0.00797594 0.00344861 0.000876633 -0.432799 -0.270338 10.0293
0.177 -0.0132396 0.000381083 -0.020524 -0.185249 -0.408994 10.0958
0.178 0.00370059 0.00959174 0.00355708 -0.464891 -0.378171 9.77432
0.179 -0.00169895 0.0117712 -0.0180679 -0.252656 -0.247709 9.83197
0.18 -0.00291217 0.00125774 -0.00475634 -0.0829258 -0.144393 9.8964
0.181 -0.0149814 0.0282718 0.0087266 -0.250576 -0.3017 9.83371
0.182 0.00782379 0.00691155 0.0205606 -0.380677 -0.20643 9.8462
0.183 -0.00749825 0.00123653 0.00709044 -0.273283 -0.24954 10.0292
0.184 -0.0142058 0.0178463 -0.000559708 -0.294096 -0.082027 9.85598
0.185 -0.00843678 0.0142889 -0.00560122 -0.157607 -0.0986633 10.1246
0.186 0.00200288 0.0211912 -0.0270536 -0.215105 -0.178239 10.0267
0.187 -0.00942779 -0.00359713 -0.00772175 -0.087659 -0.254087 9.89002
0.188 -0.00423178 0.0219734 -0.016756 -0.285405 -0.0692426 9.88464
0.189 -0.0190977 0.0115397 -0.0128274 -0.241639 -0.209424 9.69748
0.19 -0.00319339 0.00153224 0.0130392 -0.245844 0.0186671 9.97812
0.191 0.0208157 0.0168904 0.0116562 -0.162561 -0.221021 9.84735
0.192 0.00455211 0.00985324 -0.00940841 -0.360399 -0.0751052 9.83515
0.193 -0.00491466 -0.0122147 -0.00994803 -0.270948 -0.254585 9.84204
0.194 0.0123548 0.0134939 -0.0193134 -0.370715 -0.355566 9.63042
0.195 0.00414251 0.0235615 -0.0132745 -0.216718 -0.20472 9.82908
0.196 -0.0239136 0.00719244 -0.000239923 -0.262475 -0.291301 9.72427
0.197 -0.0233511 0.0234998 0.00401762 -0.379274 -0.297648 9.85302
0.198 0.00488917 0.0121405 -0.00238436 -0.150444 -0.20973 9.99188
0.199 0.00184547 0.0060237 -0.0139114 -0.39576 -0.323289 9.86358
0.2 -0.0146155 0.0142323 -0.00161968 -0.517946 -0.162981 9.83877
0.201 0.00533533 -0.00693029 0.0110041 -0.250718 -0.289985 9.79354
0.202 -0.00561221 0.0231198 0.0183638 -0.257875 -0.271848 9.57906
0.203 -0.0135725 -0.00685951 -0.00971989 -0.192572 -0.341075 9.87282
0.204 0.0100512 0.000265556 0.0257317 -0.269023 -0.238928 10.0299
0.205 0.00385152 0.00155471 -0.00124775 -0.138562 -0.0723192 9.98571
0.206 -0.00771349 0.00438077 -0.0133841 -0.152161 -0.356025 9.8685
0.207 0.00664574 0.00781748 0.00264508 -0.242293 -0.33083 10.0167
0.208 -0.0124074 0.018527 0.0174917 -0.172236 -0.216485 9.85955
0.209 -0.00294305 0.000404076 0.0141066 -0.261693 -0.21362 10.0397
0.21 0.0119677 0.014844 0.00794095 -0.177357 -0.183307 9.83079
0.211 9.52045e-05 -0.00116259 0.00461951 -0.11213 -0.251317 10.0218
0.212 0.00548724 -0.00300628 0.0102116 -0.278576 -0.0619286 9.72902
0.213 -0.0132917 0.0114871 -0.0028294 -0.325909 -0.0545823 9.84057
0.214 0.00596597 0.0152681 -0.00297556 -0.332876 -0.211418 9.85979
0.215 0.0141729 0.00108612 0.00570343 -0.278779 -0.211522 9.85735
0.216 -0.00466659 0.0116081 0.00442183 -0.240467 -0.172972 9.94552
0.217 -0.0134179 -0.00204831 -0.00362074 -0.336534 -0.598831 10.019
0.218 0.0117954 0.00743028 -3.08818e-05 -0.290094 -0.369171 9.88744
0.219 -0.00728859 0.00650373 -0.00962288 -0.251868 -0.241382 9.8844
0.22 0.00705958 0.0141442 0.00332084 -0.32411 -0.149062 9.96561
0.221 -0.00808232 0.0214248 -0.000533176 -0.317339 -0.17347 10.1304
0.222 -0.00319844 -0.000960655 0.0124261 -0.221292 -0.245024 9.91011
0.223 -0.00369431 0.00534274 0.0103424 -0.252011 -0.0825668 9.61937
0.224 -0.00192199 0.0292177 0.000310197 -0.219778 -0.147623 10.0456
0.225 0.00429093 0.0193478 -0.00297794 -0.04236 -0.186618 9.86956
0.226 -0.00221306 0.0129664 0.0100488 -0.194866 -0.289337 9.96284
0.227 -0.0101192 0.00914951 0.008582 -0.0237756 -0.201677 10.0817
0.228 -0.0203582 0.00720209 -0.00705138 -0.134499 -0.344711 10.1674
0.229 0.00372301 0.008381 0.00422706 -0.31535 -0.108119 9.99037
0.23 0.00686892 0.0127459 -0.00266709 -0.434712 -0.488928 9.99341
0.231 0.0124304 -0.016883 0.00939473 -0.0755905 -0.184965 9.90599
0.232 -0.00656428 -0.0213353 -0.00218396 -0.123311 -0.206255 10.0031
0.233 0.0241325 0.00389969 0.00923363 -0.373247 0.161452 10.0662
0.234 -0.00182679 -0.00898713 -0.00938758 -0.154231 -0.153529 9.90063
0.235 0.00662615 0.0245309 -0.0153688 -0.184208 -0.163762 9.79138
0.236 0.00290215 0.00755336 0.00283003 -0.267091 -0.259809 9.87152
0.237 0.00983889 0.00511647 -0.00915747 -0.356922 -0.264588 9.84395
0.238 0.00277693 0.0233752 0.00870867 -0.127514 -0.256122 9.88193
0.239 -0.0120192 -0.00213456 0.0292631 -0.18848 -0.301538 9.89165
