x y z
2.17324 -0.684228 0.81356
2.1783 -0.673943 0.807426
2.18332 -0.663619 0.801282
2.1883 -0.653257 0.795131
2.19323 -0.642859 0.788972
2.19813 -0.632426 0.782808
2.20299 -0.62196 0.776637
2.20782 -0.611462 0.770463
2.21262 -0.600934 0.764285
2.21739 -0.590378 0.758104
2.22214 -0.579794 0.751923
2.22687 -0.569186 0.745741
2.23158 -0.558555 0.739559
2.23627 -0.547902 0.73338
2.24095 -0.537229 0.727204
2.24562 -0.526539 0.721033
2.25028 -0.515834 0.714867
2.25494 -0.505114 0.708708
2.25959 -0.494383 0.702557
2.26425 -0.483642 0.696415
2.2689 -0.472893 0.690285
2.27356 -0.462138 0.684166
2.27823 -0.45138 0.678061
2.28291 -0.44062 0.67197
2.2876 -0.429861 0.665896
2.2923 -0.419105 0.659839
2.29702 -0.408354 0.653802
2.30176 -0.397611 0.647785
2.30651 -0.386876 0.64179
2.31129 -0.376153 0.635818
2.3161 -0.365445 0.629871
2.32093 -0.354752 0.623951
2.32578 -0.344078 0.618059
2.33067 -0.333424 0.612196
2.33559 -0.322794 0.606364
2.34054 -0.312188 0.600564
2.34553 -0.30161 0.594798
2.35055 -0.291062 0.589068
2.35561 -0.280547 0.583374
2.36071 -0.270065 0.577719
2.36585 -0.25962 0.572104
2.37103 -0.249214 0.56653
2.37626 -0.23885 0.560999
2.38152 -0.228528 0.555512
2.38684 -0.218253 0.550071
2.3922 -0.208025 0.544677
2.3976 -0.197848 0.539331
2.40306 -0.187723 0.534036
2.40856 -0.177652 0.528791
2.41411 -0.167638 0.5236
2.41971 -0.157683 0.518462
2.42536 -0.147788 0.513379
2.43106 -0.137957 0.508353
2.43681 -0.128191 0.503384
2.44261 -0.118492 0.498474
2.44846 -0.108862 0.493624
2.45437 -0.0993035 0.488836
2.46032 -0.0898179 0.484109
2.46633 -0.0804072 0.479446
2.47238 -0.0710734 0.474847
2.47849 -0.0618183 0.470314
2.48465 -0.0526437 0.465846
2.49086 -0.0435514 0.461446
2.49711 -0.0345431 0.457113
2.50342 -0.0256205 0.452849
2.50977 -0.0167853 0.448655
2.51617 -0.00803897 0.44453
2.52262 0.000616801 0.440476
2.52911 0.00918055 0.436494
2.53565 0.0176508 0.432584
2.54223 0.0260261 0.428745
2.54885 0.0343052 0.42498
2.55551 0.0424866 0.421287
2.56221 0.0505691 0.417668
2.56895 0.0585515 0.414123
2.57573 0.0664325 0.410652
2.58254 0.0742112 0.407254
2.58938 0.0818863 0.403931
2.59625 0.0894569 0.400682
2.60316 0.096922 0.397507
2.61008 0.104281 0.394406
2.61704 0.111532 0.391379
2.62401 0.118675 0.388425
2.63101 0.125709 0.385545
2.63803 0.132634 0.382737
2.64506 0.139448 0.380003
2.6521 0.146152 0.37734
2.65915 0.152743 0.37475
2.66621 0.159223 0.37223
2.67327 0.165591 0.369781
2.68034 0.171845 0.367401
2.6874 0.177986 0.365091
2.69446 0.184014 0.362849
2.70151 0.189928 0.360674
2.70855 0.195727 0.358566
2.71557 0.201413 0.356523
2.72258 0.206984 0.354545
2.72956 0.21244 0.352631
2.73652 0.217781 0.350779
2.74344 0.223008 0.348988
2.75034 0.228121 0.347258
2.75719 0.233118 0.345587
2.76401 0.238002 0.343973
2.77077 0.24277 0.342416
2.77749 0.247425 0.340914
2.78416 0.251965 0.339465
2.79076 0.256392 0.338069
2.7973 0.260705 0.336724
2.80378 0.264905 0.335428
2.81018 0.268992 0.33418
2.8165 0.272966 0.332979
2.82275 0.276828 0.331822
2.8289 0.280578 0.330709
2.83497 0.284216 0.329638
2.84094 0.287743 0.328607
2.8468 0.291159 0.327615
2.85256 0.294465 0.32666
2.85821 0.297661 0.32574
2.86375 0.300748 0.324855
2.86916 0.303726 0.324002
2.87445 0.306595 0.323179
2.8796 0.309356 0.322386
2.88462 0.31201 0.32162
2.8895 0.314557 0.32088
2.89423 0.316998 0.320165
2.89881 0.319332 0.319473
2.90323 0.321561 0.318802
2.90749 0.323685 0.318151
2.91159 0.325704 0.317519
2.91552 0.327619 0.316905
2.91927 0.32943 0.316305
2.92284 0.331139 0.315721
2.92623 0.332744 0.315149
2.92943 0.334247 0.31459
2.93244 0.335648 0.314041
2.93525 0.336948 0.313502
2.93786 0.338146 0.312972
2.94027 0.339244 0.312449
2.94247 0.340241 0.311933
2.94447 0.341138 0.311423
2.94625 0.341934 0.310917
2.94781 0.342632 0.310416
2.94915 0.343229 0.309918
2.95028 0.343727 0.309424
2.95118 0.344126 0.308932
2.95187 0.344426 0.308442
2.95232 0.344627 0.307954
2.95256 0.34473 0.307468
