t x y z yaw pitch roll vx vy vz wx wy wz
0.64 -4.00001 -4 2 0.75 2.0369e-10 -1.77933e-09 -2.81948e-09 2.33207e-09 4.38731e-10 -2.16223e-08 -4.48755e-08 9.33347e-10
0.65 -4.00001 -4 2 0.75 6.64443e-11 -2.14471e-09 -2.94085e-09 2.48004e-09 1.04226e-09 -1.21555e-08 -2.47441e-08 1.65579e-09
0.66 -4.00001 -4 2 0.75 8.64402e-12 -2.19609e-09 -3.08771e-09 2.64577e-09 1.32552e-10 1.25934e-08 8.00065e-09 2.02894e-09
0.67 -4.00001 -4 2 0.75 8.73725e-12 -1.79725e-09 -3.22912e-09 2.79878e-09 -6.64856e-10 4.02224e-08 3.98453e-08 2.30297e-09
0.68 -4.00001 -4 2 0.75 3.56937e-11 -1.11123e-09 -3.31432e-09 2.90438e-09 1.10075e-09 5.33105e-08 5.44543e-08 2.47185e-09
0.691 -4.00001 -4 2 0.75 8.22438e-11 -2.74881e-10 -3.35203e-09 2.95908e-09 2.70158e-09 4.79102e-08 5.09543e-08 2.54948e-09
0.7 -4.00001 -4 2 0.75 1.25924e-10 2.18949e-10 -3.33892e-09 2.9574e-09 2.27415e-09 2.61369e-08 3.11718e-08 2.53632e-09
0.71 -4.00001 -4 2 0.75 1.9107e-10 3.94708e-10 -3.29032e-09 2.93233e-09 1.30813e-09 -6.47777e-09 6.42e-09 2.22524e-09
0.72 -4.00001 -4 2 0.75 3.37412e-10 1.78371e-10 -3.23929e-09 2.90976e-09 9.62069e-10 -4.19751e-08 -1.20758e-08 1.60322e-09
0.73 -4.00001 -4 2 0.75 5.70009e-10 -3.35961e-10 -3.18472e-09 2.92529e-09 1.30284e-09 -5.81634e-08 -2.07152e-08 9.45177e-10
0.74 -4.00001 -4 2 0.75 7.93469e-10 -8.80072e-10 -3.16697e-09 3.0079e-09 1.98191e-09 -4.98461e-08 -1.98235e-08 2.21045e-10
0.75 -4.00001 -4 2 0.75 9.24377e-10 -1.24908e-09 -3.172e-09 3.12817e-09 2.50208e-09 -3.08274e-08 -1.49537e-08 -5.73715e-10
0.76 -4.00001 -4 2 0.75 9.49253e-10 -1.4334e-09 -3.19093e-09 3.31127e-09 2.88847e-09 1.3983e-09 -5.21429e-09 -1.63515e-09
0.77 -4.00001 -4 2 0.75 8.34061e-10 -1.32659e-09 -3.21273e-09 3.47389e-09 4.17872e-09 2.47491e-08 1.19032e-09 -2.29411e-09
0.782 -4.00001 -4 2 0.75 6.25191e-10 -1.04813e-09 -3.22234e-09 3.6172e-09 7.29151e-09 3.56469e-08 4.73455e-09 -2.57175e-09
0.79 -4.00001 -4 2 0.75 4.2726e-10 -7.63454e-10 -3.23806e-09 3.70647e-09 1.04287e-08 3.97087e-08 5.94323e-09 -2.68082e-09
0.8 -4.00001 -4 2 0.75 1.94908e-10 -4.19434e-10 -3.2496e-09 3.76963e-09 1.41575e-08 4.1844e-08 7.07964e-09 -2.85799e-09
0.81 -4.00001 -4 2 0.75 -1.58034e-12 -5.55156e-11 -3.25571e-09 3.78979e-09 1.6037e-08 3.71166e-08 1.43041e-08 -2.91875e-09
0.82 -4.00001 -4 2 0.75 -5.75586e-11 3.16e-10 -3.2403e-09 3.76748e-09 1.56782e-08 2.49691e-08 2.74133e-08 -2.90524e-09
0.83 -4.00001 -4 2 0.75 4.51315e-11 5.74894e-10 -3.2007e-09 3.72282e-09 1.43867e-08 2.03737e-09 2.50916e-08 -2.97354e-09
0.84 -4.00001 -4 2 0.75 2.68058e-10 5.41115e-10 -3.13921e-09 3.67204e-09 1.21799e-08 -3.48525e-08 2.76342e-09 -3.11923e-09
0.85 -4.00001 -4 2 0.75 5.26748e-10 4.73955e-11 -3.06559e-09 3.66157e-09 9.54582e-09 -5.5685e-08 -2.6425e-08 -3.23988e-09
0.86 -4.00001 -4 2 0.75 6.10736e-10 -6.42919e-10 -3.02603e-09 3.71181e-09 6.80104e-09 -5.47185e-08 -5.28664e-08 -3.14903e-09
0.87 -4.00001 -4 2 0.75 4.55994e-10 -1.44895e-09 -3.02426e-09 3.81325e-09 3.71961e-09 -4.08889e-08 -7.33982e-08 -3.03893e-09
0.88 -4.00001 -4 2 0.75 1.51054e-10 -2.06014e-09 -3.09813e-09 3.94614e-09 1.09849e-09 -1.33725e-08 -6.62343e-08 -3.11554e-09
0.891 -4.00001 -4 2 0.75 -3.18992e-10 -2.4101e-09 -3.2697e-09 4.12282e-09 -9.93447e-10 1.94581e-08 -4.04849e-08 -2.97599e-09
0.9 -4.00001 -4 2 0.75 -6.7419e-10 -2.36409e-09 -3.44549e-09 4.25319e-09 -1.59839e-09 3.90259e-08 -1.26408e-08 -2.54796e-09
0.91 -4.00001 -4 2 0.75 -9.88113e-10 -1.90021e-09 -3.67669e-09 4.36612e-09 -1.9111e-09 5.94697e-08 2.54251e-08 -1.6735e-09
0.92 -4.00001 -4 2 0.75 -1.12425e-09 -1.08246e-09 -3.84647e-09 4.40231e-09 -2.09793e-09 7.65209e-08 6.26771e-08 -7.09507e-10
0.93 -4.00001 -4 2 0.75 -1.12201e-09 -2.27798e-11 -3.96557e-09 4.36488e-09 -2.54421e-09 7.40499e-08 7.48774e-08 -1.47495e-10
