x y z
-0.913139 -2.28611 1.68794
-0.903843 -2.28027 1.68525
-0.894454 -2.27442 1.6826
-0.884973 -2.26856 1.67999
-0.8754 -2.2627 1.67743
-0.865738 -2.25684 1.6749
-0.855987 -2.25097 1.67242
-0.846149 -2.2451 1.66998
-0.836225 -2.23923 1.66759
-0.826217 -2.23335 1.66524
-0.816126 -2.22748 1.66293
-0.805954 -2.2216 1.66066
-0.795702 -2.21572 1.65844
-0.785372 -2.20984 1.65626
-0.774966 -2.20396 1.65413
-0.764485 -2.19809 1.65203
-0.753931 -2.19221 1.64999
-0.743306 -2.18633 1.64798
-0.732612 -2.18046 1.64602
-0.72185 -2.17459 1.6441
-0.711022 -2.16872 1.64222
-0.70013 -2.16286 1.64039
-0.689177 -2.157 1.6386
-0.678164 -2.15114 1.63685
-0.667092 -2.14529 1.63514
-0.655965 -2.13944 1.63348
-0.644784 -2.1336 1.63186
-0.63355 -2.12777 1.63028
-0.622267 -2.12194 1.62874
-0.610937 -2.11613 1.62725
-0.59956 -2.11032 1.6258
-0.58814 -2.10451 1.62438
-0.576679 -2.09872 1.62301
-0.565178 -2.09294 1.62168
-0.55364 -2.08717 1.6204
-0.542068 -2.0814 1.61915
-0.530462 -2.07565 1.61794
-0.518826 -2.06991 1.61677
-0.507162 -2.06419 1.61564
-0.495471 -2.05847 1.61455
-0.483757 -2.05277 1.6135
-0.472021 -2.04708 1.61249
-0.460265 -2.04141 1.61151
-0.448492 -2.03575 1.61058
-0.436704 -2.03011 1.60968
-0.424903 -2.02448 1.60882
-0.413091 -2.01887 1.60799
-0.401271 -2.01327 1.6072
-0.389445 -2.0077 1.60645
-0.377614 -2.00214 1.60573
-0.365782 -1.99659 1.60505
-0.35395 -1.99107 1.6044
-0.34212 -1.98557 1.60379
-0.330295 -1.98008 1.60321
-0.318477 -1.97462 1.60267
-0.306667 -1.96917 1.60215
-0.294869 -1.96375 1.60167
-0.283083 -1.95835 1.60122
-0.271313 -1.95297 1.6008
-0.25956 -1.94761 1.60042
-0.247826 -1.94227 1.60006
-0.236113 -1.93696 1.59973
-0.224424 -1.93167 1.59943
-0.212759 -1.92641 1.59916
-0.201122 -1.92116 1.59892
-0.189514 -1.91595 1.59871
-0.177937 -1.91075 1.59852
-0.166392 -1.90559 1.59836
-0.154882 -1.90044 1.59823
-0.143409 -1.89533 1.59812
-0.131973 -1.89024 1.59803
-0.120578 -1.88517 1.59797
-0.109223 -1.88013 1.59793
-0.0979126 -1.87512 1.59792
-0.0866465 -1.87014 1.59793
-0.0754269 -1.86518 1.59796
-0.0642552 -1.86025 1.59801
-0.053133 -1.85535 1.59808
-0.0420617 -1.85048 1.59817
-0.0310427 -1.84563 1.59828
-0.0200775 -1.84081 1.5984
-0.00916733 -1.83602 1.59855
0.00168645 -1.83126 1.59871
0.0124826 -1.82653 1.59889
0.0232199 -1.82183 1.59909
0.0338972 -1.81716 1.5993
