t wx wy wz ax ay az
0.11 -0.0240203 0.0121588 0.00192833 -0.455807 -0.145903 9.98176
0.111 -0.0219557 -0.00278388 0.00486174 -0.192813 -0.00207172 9.79026
0.112 0.0161326 0.00626313 0.00502764 -0.374793 -0.137306 9.97885
0.113 -0.0129623 -0.00248481 -0.0106307 0.00537678 -0.388425 10.0437
0.114 0.00972348 0.0230378 -0.00171912 -0.132046 -0.237513 9.86063
0.115 0.0118105 0.0215074 0.00295501 -0.137769 -0.0892766 10.0238
0.116 0.00417774 0.00990691 0.0190114 -0.338438 -0.175227 9.70841
0.117 -0.0194968 0.00257053 -0.00330184 -0.465959 -0.28096 10.031
0.118 -0.00398458 -0.00570476 -0.00115232 -0.368242 -0.214583 9.96023
0.119 0.0189381 0.00925187 0.00442088 -0.159743 -0.149181 9.81773
0.12 -0.0207567 0.0103516 -6.38822e-05 -0.345476 -0.249641 10.001
0.121 -0.0235902 -0.0182243 0.00737203 -0.412625 -0.301655 9.68713
0.122 0.00417397 -0.00701632 -0.0086131 -0.357564 0.025457 9.92473
0.123 -0.000865607 0.0200352 -0.00767564 -0.370803 -0.0432455 9.868
0.124 -0.011405 -0.0115796 -0.0132916 -0.16415 -0.294013 9.83459
0.125 0.00311433 -0.00682995 -0.00405277 -0.259183 -0.417071 9.81057
0.126 -0.0144786 0.00369216 -0.0199018 -0.160581 -0.247541 9.83095
0.127 -0.00456041 0.0195242 -0.00525404 -0.259518 -0.399342 9.99929
0.128 0.0101561 0.00237977 0.0128465 -0.326589 -0.12728 10.0124
0.129 0.0266047 0.0200612 0.00544411 -0.0189629 -0.132124 9.9314
0.13 -0.00507368 -0.00694309 -0.0166213 -0.386005 -0.0884894 9.95372
0.131 0.0151283 -0.00870297 0.0147687 -0.168229 -0.0652733 9.92835
0.132 0.00942536 -0.00144643 -0.00139876 -0.307088 -0.3132 9.8659
0.133 -0.00620484 0.0121346 -0.000629141 -0.305634 -0.218532 9.87689
0.134 -0.0103957 0.00548018 -0.00992684 -0.176447 -0.33236 9.94993
0.135 -0.0238782 0.0128951 0.00183929 -0.197608 -0.180788 9.9777
0.136 -0.00710619 -0.00615287 -0.00229068 -0.247446 -0.00433305 9.9471
0.137 0.00301594 -0.00806967 -0.0123144 -0.302368 -0.243644 9.87072
0.138 -0.00306438 0.0190837 -0.00395793 0.00396733 -0.0770025 9.8154
0.139 0.00200714 0.000448491 -0.0111934 -0.322704 -0.324801 9.61806
0.14 0.00952672 -0.0120313 -0.00429942 -0.300245 -0.390655 9.89733
0.141 -0.00611219 0.0169084 0.00166534 -0.160444 -0.17421 9.91863
0.142 -0.0162718 0.00177833 -0.0081581 -0.196516 -0.293875 9.92233
0.143 0.00691269 0.0175588 0.00443997 -0.207621 -0.154861 10.0001
0.144 -0.00907156 0.00798842 0.00561743 0.0669368 -0.14072 9.82302
0.145 -0.00541987 0.00753426 0.00743121 -0.247486 -0.162549 9.74975
0.146 0.00764624 0.00224999 -0.0135156 -0.347092 -0.176526 9.74716
0.147 -0.0162675 0.0265812 0.00542657 -0.310311 -0.366879 9.85959
0.148 -0.0113577 0.0103676 0.00432582 -0.28975 -0.288696 9.9003
0.149 0.00119261 -0.00692409 -0.00441218 0.128449 -0.274386 9.80999
0.15 -0.0111407 0.023917 0.0113369 -0.359434 -0.273953 9.86044
0.151 -0.00557525 0.0108208 -0.000617047 -0.334878 -0.111825 9.8495
0.152 0.00557679 -0.000970851 0.0113436 -0.340051 -0.0258453 9.6864
0.153 0.00641548 -0.00715019 0.0024793 -0.406727 -0.162207 9.85004
0.154 0.00151328 -0.000285577 -0.000146042 -0.178133 0.205847 10.0068
0.155 0.00338861 0.00838607 0.0160794 -0.102928 -0.0765308 9.69543
0.156 -0.000306947 0.00608507 -0.0033644 -0.216639 -0.194415 10.1
0.157 0.0014707 0.000838268 0.00782067 -0.178592 -0.23822 9.85594
0.158 0.0130159 -0.00330873 -0.00739886 -0.123683 -0.263654 9.62464
0.159 -0.00355055 0.007725 -0.00317944 0.0247667 -0.279381 9.88198
0.16 0.00168997 0.0115982 0.0083359 -0.2816 0.0487354 9.91034
0.162 0.00148859 -0.00528926 -0.000981505 0.125991 -0.185692 9.94689
0.163 0.0163021 -0.0105716 -0.00194862 0.0536695 -0.19822 9.83956
0.164 0.0167715 -0.00188487 0.00769538 -0.305242 -0.102321 9.93999
0.165 0.0278135 0.0155882 -0.0116747 -0.29949 -0.301801 9.8
0.166 -0.000789034 0.00951282 -0.00942226 -0.266078 0.060561 9.91563
0.167 -0.0330898 0.00158604 0.00512335 -0.487322 -0.0401865 9.76119
0.168 -0.00804632 -0.00121439 -0.00820751 -0.246058 -0.174528 9.58685
0.169 -0.00651246 -0.00200882 -0.0115739 -0.00686415 -0.308524 9.50722
0.17 0.00121911 0.0252408 -0.0162047 -0.204405 -0.155115 9.98386
0.171 -0.0123175 0.0064757 0.00629165 -0.383151 -0.168841 9.79344
0.172 -0.00616177 0.0112985 0.0165486 -0.273067 -0.175228 9.85675
0.173 0.00184146 0.000343838 0.00815748 -0.24638 -0.0234151 9.78311
0.174 0.0062726 0.0103135 0.0135834 -0.370827 -0.319143 9.97637
0.175 0.00941861 0.00537148 0.00163894 0.00628732 0.0332055 9.78297
0.176 0.000787213 0.00836929 0.00133268 -0.241629 -0.156546 9.86212
0.177 -0.0126694 0.0167505 -0.00677498 -0.126903 -0.16485 9.87232
0.178 -0.00520332 0.00579764 -0.00197913 -0.0987378 -0.233354 9.80466
0.179 -0.01025 0.0112718 0.00612065 -0.231831 -0.0333772 9.77447
0.18 -0.000830597 -0.0232212 -0.014592 -0.227927 -0.0171171 9.59598
0.181 0.0103036 0.0131472 -0.0134047 -0.0855864 -0.164783 9.7269
0.183 -0.00756332 -0.00969824 0.00185948 -0.506264 -0.117013 9.79111
0.184 0.0213237 0.00482643 0.0119847 -0.107189 -0.0802849 9.77052
0.185 0.00423809 -0.0159667 -0.0167147 -0.197503 -0.0832852 9.86131
0.186 0.00726846 0.00482493 0.0127712 -0.243148 -0.0328327 9.78822
0.187 -0.00591261 0.00344214 -0.00505476 -0.330745 -0.268081 9.69557
0.188 0.000747591 0.0292868 -0.00299879 -0.151638 -0.226612 9.86499
0.189 -0.0286527 0.0149563 -0.00779229 -0.0445792 -0.285015 9.94467
0.19 0.0172335 0.0101781 0.00154243 -0.223792 -0.266776 9.84133
0.191 -0.0162024 0.000759706 -0.00494062 0.0674815 -0.09641 9.8255
0.192 0.0156154 -0.000870619 -0.0118559 -0.452945 -0.125147 10.0203
0.193 -0.0032785 0.0136916 0.0129227 -0.186009 -0.406177 9.8904
0.194 -0.0039842 -0.00169345 0.00152913 -0.222536 -0.0572973 9.8963
0.195 -0.000584677 0.0022608 0.000632136 -0.219206 -0.0875383 9.63386
0.196 0.00311474 0.0131018 -0.00063227 -0.329239 -0.22029 9.68822
0.197 -0.00186548 -0.0132775 0.0067685 -0.254275 -0.175756 9.82146
0.198 0.0185864 0.0082853 0.00847587 -0.0998618 -0.465646 9.82841
0.199 -0.00409136 0.0104739 0.0173084 -0.256702 -0.139768 9.98013
0.2 0.0109249 0.0210661 -0.0166272 -0.296569 -0.0696743 9.65387
0.201 -0.0113845 -0.00918295 -0.0100477 -0.245905 -0.362352 9.74696
0.202 -0.00948264 -0.0175582 -0.00996089 -0.0103471 -0.360347 9.83017
0.204 0.0013192 0.00353774 0.004621 -0.435691 -0.028573 9.91482
0.205 -0.0106033 0.00814206 0.0174772 -0.156592 -0.262722 9.79429
